idPNN,radio 10,radio 14,radio 18,radio 2,radio 22,radio 26,radio 26.5,radio 30,radio 6
01010001,0.014283727,0.0203105710000001,0.0142797583333333,0.0158116616666667,0.014281559,0.014281559,0.014281559,0.017638386,0.0145517880000002
01010002,0.0713257090000001,0.127642233,0.0691055173333333,0.085350215,0.0683137166666666,0.068257432,0.068132177,0.101550056666667,0.076185715
01010003,0.0554149439999999,0.0985380666666666,0.0530705099999999,0.0667668126666667,0.0518687560000001,0.0517531773333335,0.0514605053333334,0.0791240853333333,0.059589409
01010004,0.0102722533333333,0.017161104,0.0100286973333335,0.0118153096666667,0.00994711066666664,0.00994209899999987,0.00993097866666666,0.0136677306666667,0.0108159223333334
01010005,0.0112380626666667,0.013767845,0.0112212226666667,0.0114161853333334,0.011221051,0.011221051,0.011221051,0.0117084433333334,0.0113438696666667
01010006,0.0114813396666666,0.0195337273333335,0.011003769,0.0140277763333334,0.010803135,0.0107866343333333,0.0107452706666666,0.016646603,0.0124054826666666
01010007,0.0197427803333333,0.0342662926666666,0.0197367983333333,0.0214554603333333,0.0197367983333333,0.0197367983333333,0.0197367983333333,0.0260851936666668,0.0199475519999999
01010008,0.0100359066666666,0.0209848313333333,0.0102843063333334,0.0119925893333334,0.0102957203333333,0.0102957203333333,0.0102957203333333,0.0146128933333333,0.0102675786666667
01010009,0.0150062399999999,0.0252174013333334,0.0144184903333334,0.0178033163333332,0.0141187423333333,0.0140905456666666,0.0140193293333334,0.0207042179999998,0.0160522823333334
01010010,0.0184450246666666,0.0320815226666666,0.017683309,0.022030251,0.017281638,0.0172417823333332,0.0171404083333334,0.0258829430000002,0.0197764870000001
01010011,0.00726464299999988,0.0130279850000001,0.00694774733333333,0.00873133433333343,0.00677755933333342,0.00676072266666664,0.00671744,0.0103304323333335,0.00781072199999995
01010012,0.0452770643333333,0.0856003243333335,0.0437297859999999,0.0550256709999998,0.0430976583333334,0.0430500166666666,0.0429438746666667,0.0670731276666668,0.0485492536666667
01010014,0.000740274666666724,0.00672026966666669,0.000740274666666724,0.00073809433333327,0.000740274666666724,0.000740274666666724,0.000740274666666724,0.00060120433333329,0.000741215000000016
01010015,0.00563464466666663,0.00792793133333321,0.00571642999999999,0.00551141033333321,0.00572395799999999,0.00572401033333343,0.00572864200000015,0.00616567400000023,0.00552195100000001
01010017,0.00384781533333337,0.007200847333333,0.00368069666666682,0.00479416533333351,0.00362040699999992,0.00361634300000002,0.00360587300000004,0.00578269533333346,0.00419720866666676
01010018,0.00176460433333333,0.00879533733333337,0.00176434200000003,0.002595467,0.00177007366666667,0.00177033833333338,0.00177075600000006,0.00455368033333329,0.00194851166666661
01010019,0.0283818256666667,0.0483827820000001,0.0272392853333334,0.034164962,0.0267002973333333,0.0266521003333333,0.0265333163333334,0.0401004576666667,0.0304967686666666
01010020,0.00262461033333342,0.0037335766666667,0.00248125000000007,0.00319272000000007,0.00242558799999996,0.00242313633333324,0.00241762699999992,0.00342348066666657,0.00287734633333329
01010021,0.0243217943333333,0.0437877849999997,0.0232029223333333,0.0295884649999999,0.0226111126666666,0.0225527793333333,0.0224033700000001,0.0351484479999999,0.0262797703333333
01010022,0.0166238060000001,0.029212037,0.0158771386666666,0.0200017936666666,0.0154687943333333,0.0154278723333333,0.0153213616666666,0.0235620410000001,0.0178909723333333
01010024,0.00298843700000003,0.00469737333333331,0.00290287266666663,0.00352926066666661,0.00288552599999997,0.00288509399999998,0.00288395733333326,0.00406925566666664,0.00318621333333332
01010025,0.0108401713333333,0.018352035,0.0103967,0.0129381849999999,0.0101806596666667,0.0101610643333333,0.0101115396666667,0.0150925126666666,0.0116376133333333
01010026,0.0179992076666667,0.0308491943333334,0.017344303,0.0214174949999999,0.0170506383333332,0.0170261243333333,0.0169645939999999,0.0251071113333333,0.019253311
01010027,0.040482373,0.0707144473333335,0.0388400586666667,0.0483764179999999,0.0379995303333333,0.0379193293333333,0.0377158733333332,0.057008065,0.0433909596666666
01010028,0.00643025566666666,0.0102250383333334,0.00623996166666664,0.00763862966666664,0.00618989000000005,0.00618779500000001,0.00618313733333338,0.00827281533333331,0.00689561166666663
01010029,0.0207431493333334,0.0354138890000001,0.0198800386666667,0.0248327319999999,0.0194353316666667,0.0193933873333333,0.0192863866666667,0.0291917659999999,0.0222526303333333
01010030,0.00231866399999999,0.0012179470000001,0.00218290033333333,0.00343924533333332,0.00215613733333333,0.00215536633333333,0.00215421133333338,0.00328579666666658,0.00270751300000007
01010031,0.074083739,0.130699828,0.0727780596666667,0.087937107,0.0724702769999999,0.0724520866666666,0.0724379503333332,0.105173242,0.0783618453333334
01010032,0.0189802436666666,0.03347741,0.0183126293333333,0.0227022340000001,0.0179812343333333,0.0179495966666667,0.0178737576666666,0.0270140096666667,0.020305305
01010033,0.017983598,0.0252843533333333,0.016902816,0.0219071436666666,0.016474403,0.0164373153333333,0.0163576263333334,0.0238559973333333,0.0198163033333333
01010034,0.0161305386666667,0.0255296043333332,0.01545395,0.0193889373333332,0.0151096553333334,0.0150770366666667,0.014995453,0.0226189189999999,0.017345905
01010035,0.000425491000000037,0.00341105833333347,0.00055909266666676,0.000555601333333359,0.000595080999999979,0.000597449666666712,0.000601756999999869,0.0015475673333335,7.90373333334388e-05
01010036,0.04053703,0.0682258446666667,0.0393433696666666,0.0475075606666667,0.0388077169999999,0.0387626189999999,0.038658265,0.0555330973333335,0.0429526096666666
01010038,0.00903424366666668,0.0156015403333335,0.00861473999999995,0.0108982646666667,0.00838609399999997,0.00836318633333332,0.00830372966666674,0.0127797913333333,0.00974227499999998
01010039,0.0136919136666666,0.0231459993333333,0.0134026673333334,0.0157567543333333,0.0133053603333333,0.0133003243333333,0.0132890303333333,0.0185196806666666,0.0143679083333334
01010040,0.020378383,0.048637592,0.0203849273333334,0.0226466956666666,0.0203849273333334,0.0203849273333334,0.0203849273333334,0.0315250573333333,0.020473973
01010041,0.0245594990000001,0.0534996253333334,0.0244759013333333,0.0295104823333333,0.0244756146666666,0.0244756146666666,0.0244756146666666,0.0387802623333333,0.025532341
01010042,0.016518007,0.0351733753333333,0.0159928213333333,0.0205182906666667,0.0158775116666667,0.0158733713333334,0.0158659833333333,0.0248009186666666,0.0178853266666667
01010043,0.00563797233333333,0.00975205666666667,0.00550762666666671,0.00647101600000007,0.00545150899999995,0.00544669066666677,0.00543518266666665,0.00746610599999997,0.00592464800000003
